month,commit,npm_total,npm_direct,npm_transitive,asis_cves,severity_C,severity_H,severity_M,severity_L,vuln_packages,patched_total,patched_nday,patched_zeroday,cves_fixed,nday_intro,zeroday_intro,net_reduction,confidence
2025-03,4712ac7,828,26,802,5,0,0,5,0,4,59,0,59,5,0,59,5,HIGH
2025-04,4712ac7,828,26,802,10,0,0,10,0,5,53,0,53,10,0,53,10,HIGH
2025-05,4712ac7,828,26,802,11,0,0,10,1,5,53,0,53,11,0,53,11,HIGH
2025-06,4712ac7,828,26,802,14,0,0,12,2,7,47,0,47,14,0,47,14,HIGH
2025-07,4712ac7,828,26,802,15,0,0,12,3,8,43,0,43,15,0,43,15,HIGH
2025-08,4712ac7,828,26,802,16,0,0,12,4,9,50,0,50,16,0,50,16,HIGH
2025-09,4712ac7,828,26,802,18,0,0,12,6,9,49,0,49,18,0,49,18,HIGH
2025-10,4712ac7,828,26,802,19,0,0,13,6,9,48,0,48,19,0,48,19,HIGH
2025-11,4712ac7,828,26,802,25,0,4,15,6,13,41,0,41,25,0,41,25,HIGH
2025-12,4712ac7,828,26,802,27,0,5,16,6,15,35,0,35,27,0,35,27,HIGH
2026-01,4712ac7,828,26,802,33,0,9,18,6,18,31,0,31,33,0,31,33,HIGH
2026-02,4712ac7,828,26,802,44,0,16,19,9,23,23,0,23,44,0,23,44,HIGH
2026-03,619c10f,552,26,526,21,0,11,8,2,10,0,0,0,21,0,0,21,HIGH
