vuln_id	severity	bom_ref	ecosystem	name	version	purl	type
CVE-2024-56433	low	pkg:deb/debian/login@1%3A4.13%2Bdfsg1-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=d5e0daed57b0ef5c&upstream=shadow	deb	login	1:4.13+dfsg1-1+deb12u2	pkg:deb/debian/login@1%3A4.13%2Bdfsg1-1%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=shadow	library
CVE-2024-56433	low	pkg:deb/debian/passwd@1%3A4.13%2Bdfsg1-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=1853000d374a22b0&upstream=shadow	deb	passwd	1:4.13+dfsg1-1+deb12u2	pkg:deb/debian/passwd@1%3A4.13%2Bdfsg1-1%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=shadow	library
CVE-2023-2953	high	pkg:deb/debian/libldap-2.5-0@2.5.13%2Bdfsg-5?arch=amd64&distro=debian-12&package-id=692b9197d4b21a92&upstream=openldap	deb	libldap-2.5-0	2.5.13+dfsg-5	pkg:deb/debian/libldap-2.5-0@2.5.13%2Bdfsg-5?arch=amd64&distro=debian-12&upstream=openldap	library
CVE-2023-2953	high	pkg:deb/debian/libldap-common@2.5.13%2Bdfsg-5?arch=all&distro=debian-12&package-id=dd3946a6b1d2298d&upstream=openldap	deb	libldap-common	2.5.13+dfsg-5	pkg:deb/debian/libldap-common@2.5.13%2Bdfsg-5?arch=all&distro=debian-12&upstream=openldap	library
CVE-2018-13410	none	pkg:deb/debian/zip@3.0-13?arch=amd64&distro=debian-12&package-id=03f30eea77f8b016	deb	zip	3.0-13	pkg:deb/debian/zip@3.0-13?arch=amd64&distro=debian-12	library
CVE-2023-52355	high	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff	deb	libtiff6	4.5.0-6+deb12u3	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=tiff	library
CVE-2023-6277	medium	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff	deb	libtiff6	4.5.0-6+deb12u3	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=tiff	library
CVE-2011-3389	none	pkg:deb/debian/libgnutls30@3.7.9-2%2Bdeb12u5?arch=amd64&distro=debian-12&package-id=a88e78b6d66aa563&upstream=gnutls28	deb	libgnutls30	3.7.9-2+deb12u5	pkg:deb/debian/libgnutls30@3.7.9-2%2Bdeb12u5?arch=amd64&distro=debian-12&upstream=gnutls28	library
CVE-2024-38950	medium	pkg:deb/debian/libde265-0@1.0.11-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=e9e852b82b9bceda&upstream=libde265	deb	libde265-0	1.0.11-1+deb12u2	pkg:deb/debian/libde265-0@1.0.11-1%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=libde265	library
CVE-2015-3276	none	pkg:deb/debian/libldap-2.5-0@2.5.13%2Bdfsg-5?arch=amd64&distro=debian-12&package-id=692b9197d4b21a92&upstream=openldap	deb	libldap-2.5-0	2.5.13+dfsg-5	pkg:deb/debian/libldap-2.5-0@2.5.13%2Bdfsg-5?arch=amd64&distro=debian-12&upstream=openldap	library
CVE-2015-3276	none	pkg:deb/debian/libldap-common@2.5.13%2Bdfsg-5?arch=all&distro=debian-12&package-id=dd3946a6b1d2298d&upstream=openldap	deb	libldap-common	2.5.13+dfsg-5	pkg:deb/debian/libldap-common@2.5.13%2Bdfsg-5?arch=all&distro=debian-12&upstream=openldap	library
CVE-2023-6879	critical	pkg:deb/debian/libaom3@3.6.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=9e3b0cc1c76e74b4&upstream=aom	deb	libaom3	3.6.0-1+deb12u2	pkg:deb/debian/libaom3@3.6.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=aom	library
CVE-2005-2541	none	pkg:deb/debian/tar@1.34%2Bdfsg-1.2%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=f8ad3f5238dbcf6a	deb	tar	1.34+dfsg-1.2+deb12u1	pkg:deb/debian/tar@1.34%2Bdfsg-1.2%2Bdeb12u1?arch=amd64&distro=debian-12	library
CVE-2025-59375	high	pkg:deb/debian/libexpat1@2.5.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&package-id=66ec0b239b3dc1ac&upstream=expat	deb	libexpat1	2.5.0-1+deb12u2	pkg:deb/debian/libexpat1@2.5.0-1%2Bdeb12u2?arch=amd64&distro=debian-12&upstream=expat	library
CVE-2025-6297	high	pkg:deb/debian/dpkg@1.21.22?arch=amd64&distro=debian-12&package-id=2818345ae43ed06c	deb	dpkg	1.21.22	pkg:deb/debian/dpkg@1.21.22?arch=amd64&distro=debian-12	library
CVE-2017-16232	none	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff	deb	libtiff6	4.5.0-6+deb12u3	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&upstream=tiff	library
CVE-2017-17740	none	pkg:deb/debian/libldap-2.5-0@2.5.13%2Bdfsg-5?arch=amd64&distro=debian-12&package-id=692b9197d4b21a92&upstream=openldap	deb	libldap-2.5-0	2.5.13+dfsg-5	pkg:deb/debian/libldap-2.5-0@2.5.13%2Bdfsg-5?arch=amd64&distro=debian-12&upstream=openldap	library
CVE-2017-17740	none	pkg:deb/debian/libldap-common@2.5.13%2Bdfsg-5?arch=all&distro=debian-12&package-id=dd3946a6b1d2298d&upstream=openldap	deb	libldap-common	2.5.13+dfsg-5	pkg:deb/debian/libldap-common@2.5.13%2Bdfsg-5?arch=all&distro=debian-12&upstream=openldap	library
CVE-2011-3374	none	pkg:deb/debian/apt@2.6.1?arch=amd64&distro=debian-12&package-id=cd0a6d87e2b9c130	deb	apt	2.6.1	pkg:deb/debian/apt@2.6.1?arch=amd64&distro=debian-12	library
