ecosystem	name	version	purl	depth	blast_radius
npm	@acpr/rate-limit-postgresql	1.4.1	pkg:npm/@acpr/rate-limit-postgresql@1.4.1	1	1
npm	@coolaj86/urequest	1.3.7	pkg:npm/@coolaj86/urequest@1.3.7	2	2
npm	@types/body-parser	1.19.6	pkg:npm/@types/body-parser@1.19.6	2	3
npm	@types/connect-timeout	1.9.0	pkg:npm/@types/connect-timeout@1.9.0	1	1
npm	@types/connect	3.4.38	pkg:npm/@types/connect@3.4.38	3	4
npm	@types/express-serve-static-core	4.19.8	pkg:npm/@types/express-serve-static-core@4.19.8	2	3
npm	@types/express	4.17.25	pkg:npm/@types/express@4.17.25	1	2
npm	@types/http-errors	2.0.5	pkg:npm/@types/http-errors@2.0.5	3	4
npm	@types/mime	1.3.5	pkg:npm/@types/mime@1.3.5	4	5
npm	@types/node	20.19.31	pkg:npm/@types/node@20.19.31	1	13
npm	@types/pg-cursor	2.7.2	pkg:npm/@types/pg-cursor@2.7.2	1	1
npm	@types/pg-pool	2.0.3	pkg:npm/@types/pg-pool@2.0.3	2	2
npm	@types/pg	8.16.0	pkg:npm/@types/pg@8.16.0	1	4
npm	@types/qs	6.14.0	pkg:npm/@types/qs@6.14.0	2	4
npm	@types/range-parser	1.2.7	pkg:npm/@types/range-parser@1.2.7	3	4
npm	@types/send	0.17.6	pkg:npm/@types/send@0.17.6	3	4
npm	@types/send	1.2.1	pkg:npm/@types/send@1.2.1	3	4
npm	@types/serve-static	1.15.10	pkg:npm/@types/serve-static@1.15.10	2	3
npm	accepts	1.3.8	pkg:npm/accepts@1.3.8	2	5
npm	ansi-styles	4.3.0	pkg:npm/ansi-styles@4.3.0	3	3
npm	array-flatten	1.1.1	pkg:npm/array-flatten@1.1.1	2	5
npm	assert-options	0.8.3	pkg:npm/assert-options@0.8.3	2	2
npm	autodetect-decoder-stream	2.0.2	pkg:npm/autodetect-decoder-stream@2.0.2	1	1
npm	bl	2.2.1	pkg:npm/bl@2.2.1	2	2
npm	body-parser	1.20.4	pkg:npm/body-parser@1.20.4	1	6
npm	bson	1.1.6	pkg:npm/bson@1.1.6	2	2
npm	buffer-alloc-unsafe	1.1.0	pkg:npm/buffer-alloc-unsafe@1.1.0	3	3
npm	buffer-alloc	1.2.0	pkg:npm/buffer-alloc@1.2.0	2	2
npm	buffer-fill	1.0.0	pkg:npm/buffer-fill@1.0.0	3	3
