Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
tar,6.2.1,7.5.7,npm,tar,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
nodemailer,6.10.1,8.0.1,npm,nodemailer,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
diff,5.2.0,8.0.3,npm,diff,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
glob,10.4.5,13.0.1,npm,glob,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
binutils,2.40-2,unknown,debian,binutils,45,0,45,0,0,0,"NO FIX AVAILABLE — all 45 CVEs still open"
libtiff6,4.5.0-6+deb12u3,unknown,debian,tiff,15,0,15,0,0,0,"NO FIX AVAILABLE — all 15 CVEs still open"
libc-bin,2.36-9+deb12u13,unknown,debian,glibc,10,0,10,0,0,0,"NO FIX AVAILABLE — all 10 CVEs still open"
curl,7.88.1-10+deb12u14,unknown,debian,curl,9,0,9,0,0,0,"NO FIX AVAILABLE — all 9 CVEs still open"
libexpat1,2.5.0-1+deb12u2,unknown,debian,expat,6,0,6,0,0,0,"NO FIX AVAILABLE — all 6 CVEs still open"
libldap-2.5-0,2.5.13+dfsg-5,unknown,debian,openldap,6,0,6,0,0,0,"NO FIX AVAILABLE — all 6 CVEs still open"
libpng16-16,1.6.39-2+deb12u1,unknown,debian,libpng1.6,5,0,5,0,0,0,"NO FIX AVAILABLE — all 5 CVEs still open"
libsystemd0,252.39-1~deb12u1,unknown,debian,systemd,4,0,4,0,0,0,"NO FIX AVAILABLE — all 4 CVEs still open"
coreutils,9.1-1,unknown,debian,coreutils,3,0,3,0,0,0,"NO FIX AVAILABLE — all 3 CVEs still open"
gpgv,2.2.40-1.1+deb12u2,unknown,debian,gnupg2,3,0,3,0,0,0,"NO FIX AVAILABLE — all 3 CVEs still open"
krb5-locales,1.20.1-2+deb12u4,unknown,debian,krb5,3,0,3,0,0,0,"NO FIX AVAILABLE — all 3 CVEs still open"
libde265-0,1.0.11-1+deb12u2,unknown,debian,libde265,3,0,3,0,0,0,"NO FIX AVAILABLE — all 3 CVEs still open"
libheif1,1.15.1-1+deb12u1,unknown,debian,libheif,3,0,3,0,0,0,"NO FIX AVAILABLE — all 3 CVEs still open"
bsdutils,1:2.38.1-5+deb12u3,unknown,debian,util-linux@2.38.1-5+deb12u3,2,0,0,2,0,0,"INVESTIGATE — fix status unknown for all 2 CVEs"
libaom3,3.6.0-1+deb12u2,unknown,debian,aom,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
libgcrypt20,1.10.1-3,unknown,debian,libgcrypt20,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
libgnutls30,3.7.9-2+deb12u5,unknown,debian,gnutls28,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
libtinfo6,6.4-4,unknown,debian,ncurses,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
login,1:4.13+dfsg1-1+deb12u2,unknown,debian,shadow,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
perl-base,5.36.0-7+deb12u3,unknown,debian,perl,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
apt,2.6.1,unknown,debian,apt,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
cpp-12,12.2.0-14+deb12u1,unknown,debian,gcc-12,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
dpkg,1.21.22,unknown,debian,dpkg,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
libdav1d6,1.0.0-2+deb12u1,unknown,debian,dav1d,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
libjansson4,2.14-2,unknown,debian,jansson,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
libjbig0,2.1-6.1,unknown,debian,jbigkit,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
libpam-modules,1.5.2-6+deb12u2,unknown,debian,pam,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
libssl3,3.0.18-1~deb12u2,unknown,debian,openssl,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
libtasn1-6,4.19.0-2+deb12u1,unknown,debian,libtasn1-6,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
tar,1.34+dfsg-1.2+deb12u1,unknown,debian,tar,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
unzip,6.0-28,unknown,debian,unzip,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
zip,3.0-13,unknown,debian,zip,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
