CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
CVE-2024-56433,login,1:4.13+dfsg1-1+deb12u2,unknown,3.6,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-2953,libldap-2.5-0,2.5.13+dfsg-5,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-13410,zip,3.0-13,unknown,9.8,CRITICAL,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-52355,libtiff6,4.5.0-6+deb12u3,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-6277,libtiff6,4.5.0-6+deb12u3,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2011-3389,libgnutls30,3.7.9-2+deb12u5,unknown,None,,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-38950,libde265-0,1.0.11-1+deb12u2,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2015-3276,libldap-2.5-0,2.5.13+dfsg-5,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-6879,libaom3,3.6.0-1+deb12u2,unknown,9.0,CRITICAL,critical,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2005-2541,tar,1.34+dfsg-1.2+deb12u1,unknown,None,,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-59375,libexpat1,2.5.0-1+deb12u2,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-6297,dpkg,1.21.22,unknown,8.2,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2017-16232,libtiff6,4.5.0-6+deb12u3,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2017-17740,libldap-2.5-0,2.5.13+dfsg-5,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2011-3374,apt,2.6.1,unknown,3.7,LOW,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-20796,libc-bin,2.36-9+deb12u13,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2018-5709,krb5-locales,1.20.1-2+deb12u4,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-1010025,libc-bin,2.36-9+deb12u13,unknown,5.3,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-38949,libde265-0,1.0.11-1+deb12u2,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-32570,libdav1d6,1.0.0-2+deb12u1,unknown,5.9,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-39616,libaom3,3.6.0-1+deb12u2,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-0725,curl,7.88.1-10+deb12u14,unknown,7.3,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-13151,libtasn1-6,4.19.0-2+deb12u1,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-28757,libexpat1,2.5.0-1+deb12u2,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2017-9937,libjbig0,2.1-6.1,unknown,6.5,MEDIUM,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-9192,libc-bin,2.36-9+deb12u13,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-10148,curl,7.88.1-10+deb12u14,unknown,5.3,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
