Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
http-proxy-middleware,2.0.6,3.0.5,npm,http-proxy-middleware,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
loader-utils,1.2.3,3.3.1,npm,loader-utils,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
node-forge,1.3.1,1.3.3,npm,node-forge,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
tar,6.2.1,7.5.7,npm,tar,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
undici,6.19.8,7.21.0,npm,undici,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
axios,1.7.7,1.13.5,npm,axios,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
path-to-regexp,0.1.7,8.3.0,npm,path-to-regexp,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
webpack-dev-server,4.15.2,5.2.3,npm,webpack-dev-server,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
webpack-dev-server,<=5.2.0,5.2.3,npm,webpack-dev-server,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
webpack,5.94.0,5.105.0,npm,webpack,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
@babel/helpers,7.25.6,7.28.6,npm,@babel/helpers,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
axios,1.12.2,1.13.5,npm,axios,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
body-parser,1.20.2,2.2.2,npm,body-parser,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
brace-expansion,1.1.11,4.0.1,npm,brace-expansion,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
cookie,0.6.0,1.1.1,npm,cookie,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
cross-spawn,7.0.3,7.0.6,npm,cross-spawn,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
diff,4.0.2,8.0.3,npm,diff,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
express,4.19.2,5.2.1,npm,express,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
form-data,4.0.0,4.0.5,npm,form-data,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
glob,10.4.5,13.0.1,npm,glob,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
js-yaml,3.14.1,4.1.1,npm,js-yaml,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
jws,3.2.2,4.0.1,npm,jws,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
lodash,4.17.21,4.17.23,npm,lodash,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
nanoid,3.3.7,5.1.6,npm,nanoid,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
on-headers,1.0.2,1.1.0,npm,on-headers,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
