CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
GHSA-wgrm-67xf-hhpq,pdfjs-dist,3.11.174,5.4.624,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 3.11.174 to 5.4.624",low
GHSA-76p3-8jx3-jpfq,loader-utils,1.2.3,3.3.1,None,CRITICAL,critical,unknown,None,0,npm,"UPGRADE — update from 1.2.3 to 3.3.1",low
GHSA-4r6h-8v6p-xvw6,xlsx,0.18.5,0.18.5,None,HIGH,high,unknown,None,0,npm,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-hhq3-ff78-jv3g,loader-utils,1.2.3,3.3.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.2.3 to 3.3.1",low
GHSA-qwcr-r2fm-qrc7,body-parser,1.20.2,2.2.2,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.20.2 to 2.2.2",low
GHSA-gcx4-mw62-g8wm,rollup,2.79.1,4.57.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 2.79.1 to 4.57.1",low
GHSA-3rfm-jhwj-7488,loader-utils,1.2.3,3.3.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.2.3 to 3.3.1",low
GHSA-c2qf-rxjj-qqgw,semver,7.3.4,7.7.4,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 7.3.4 to 7.7.4",low
GHSA-cm22-4g7w-348p,serve-static,1.15.0,2.2.1,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 1.15.0 to 2.2.1",low
GHSA-c7qv-q95q-8v27,http-proxy-middleware,2.0.6,3.0.5,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 2.0.6 to 3.0.5",low
GHSA-fjxv-7rqg-78g4,form-data,4.0.0,4.0.5,None,CRITICAL,critical,unknown,None,0,npm,"UPGRADE — update from 4.0.0 to 4.0.5",low
GHSA-6rw7-vpxm-498p,qs,6.11.0,6.14.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 6.11.0 to 6.14.1",low
GHSA-rhx6-c78j-4q9w,path-to-regexp,0.1.7,8.3.0,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 0.1.7 to 8.3.0",low
GHSA-554w-wpv2-vw27,node-forge,1.3.1,1.3.3,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.3.1 to 1.3.3",low
GHSA-4www-5p9h-95mh,http-proxy-middleware,2.0.6,3.0.5,None,MEDIUM,medium,unknown,None,0,npm,"UPGRADE — update from 2.0.6 to 3.0.5",low
GHSA-968p-4wvh-cqc8,@babel/helpers,7.25.6,7.28.6,None,MEDIUM,medium,unknown,None,0,npm,"UPGRADE — update from 7.25.6 to 7.28.6",low
GHSA-5pgg-2g8v-p4x9,xlsx,0.18.5,0.18.5,None,HIGH,high,unknown,None,0,npm,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
