CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
GHSA-wgrm-67xf-hhpq,pdfjs-dist,3.11.174,5.4.624,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 3.11.174 to 5.4.624",low
GHSA-76p3-8jx3-jpfq,loader-utils,1.2.3,3.3.1,None,CRITICAL,critical,unknown,None,0,npm,"UPGRADE — update from 1.2.3 to 3.3.1",low
GHSA-4r6h-8v6p-xvw6,xlsx,0.18.5,0.18.5,None,HIGH,high,unknown,None,0,npm,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-hhq3-ff78-jv3g,loader-utils,1.2.3,3.3.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.2.3 to 3.3.1",low
GHSA-qwcr-r2fm-qrc7,body-parser,1.20.2,2.2.2,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.20.2 to 2.2.2",low
GHSA-gcx4-mw62-g8wm,rollup,2.79.1,4.57.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 2.79.1 to 4.57.1",low
CVE-2024-56433,login,1:4.13+dfsg1-1+deb12u2,unknown,3.6,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-3rfm-jhwj-7488,loader-utils,1.2.3,3.3.1,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 1.2.3 to 3.3.1",low
CVE-2023-2953,libldap-2.5-0,2.5.13+dfsg-5,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-c2qf-rxjj-qqgw,semver,7.3.4,7.7.4,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 7.3.4 to 7.7.4",low
GHSA-cm22-4g7w-348p,serve-static,1.15.0,2.2.1,None,LOW,low,unknown,None,0,npm,"UPGRADE — update from 1.15.0 to 2.2.1",low
GHSA-c7qv-q95q-8v27,http-proxy-middleware,2.0.6,3.0.5,None,HIGH,high,unknown,None,0,npm,"UPGRADE — update from 2.0.6 to 3.0.5",low
CVE-2011-3389,libgnutls30,3.7.9-2+deb12u5,unknown,None,,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-23922,libgif7,5.2.1-2.5,unknown,7.1,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-fjxv-7rqg-78g4,form-data,4.0.0,4.0.5,None,CRITICAL,critical,unknown,None,0,npm,"UPGRADE — update from 4.0.0 to 4.0.5",low
CVE-2024-38950,libde265-0,1.0.11-1+deb12u2,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2015-3276,libldap-2.5-0,2.5.13+dfsg-5,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
