Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
vite,5.4.14,7.3.1,npm,vite,8,8,0,0,0,-8,"UPGRADE — all 8 CVEs fixed; no new CVEs"
node-forge,1.3.1,1.3.3,npm,node-forge,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
tar,6.2.1,7.5.9,npm,tar,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
undici,6.11.1,7.22.0,npm,undici,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
@angular/compiler,17.3.12,21.1.4,npm,@angular/compiler,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
http-proxy-middleware,2.0.7,3.0.5,npm,http-proxy-middleware,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
qs,6.13.0,6.15.0,npm,qs,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
webpack-dev-server,4.15.1,5.2.3,npm,webpack-dev-server,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
webpack,5.94.0,5.105.2,npm,webpack,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
@angular/common,17.3.12,21.1.4,npm,@angular/common,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
@babel/runtime,7.24.0,7.28.6,npm,@babel/runtime,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
brace-expansion,1.1.11,5.0.2,npm,brace-expansion,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
diff,5.2.0,8.0.3,npm,diff,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
esbuild,0.20.1,0.27.3,npm,esbuild,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
glob,10.4.5,13.0.3,npm,glob,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
js-yaml,3.14.1,4.1.1,npm,js-yaml,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
lodash,4.17.21,4.17.23,npm,lodash,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
on-headers,1.0.2,1.1.0,npm,on-headers,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
tmp,0.0.33,0.2.5,npm,tmp,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
stdlib,go1.20.12,unknown,unknown,stdlib,41,0,0,41,0,0,"INVESTIGATE — fix status unknown for all 41 CVEs"
busybox,1.37.0-r30,unknown,alpine,busybox,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
