Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
vite,5.4.14,7.3.1,npm,vite,8,8,0,0,0,-8,"UPGRADE — all 8 CVEs fixed; no new CVEs"
node-forge,1.3.1,1.3.3,npm,node-forge,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
tar,6.2.1,7.5.9,npm,tar,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
undici,6.11.1,7.22.0,npm,undici,3,3,0,0,0,-3,"UPGRADE — all 3 CVEs fixed; no new CVEs"
@angular/compiler,17.3.12,21.1.4,npm,@angular/compiler,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
http-proxy-middleware,2.0.7,3.0.5,npm,http-proxy-middleware,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
qs,6.13.0,6.15.0,npm,qs,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
webpack-dev-server,4.15.1,5.2.3,npm,webpack-dev-server,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
webpack,5.94.0,5.105.2,npm,webpack,2,2,0,0,0,-2,"UPGRADE — all 2 CVEs fixed; no new CVEs"
@angular/common,17.3.12,21.1.4,npm,@angular/common,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
@babel/runtime,7.24.0,7.28.6,npm,@babel/runtime,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
brace-expansion,1.1.11,5.0.2,npm,brace-expansion,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
diff,5.2.0,8.0.3,npm,diff,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
esbuild,0.20.1,0.27.3,npm,esbuild,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
glob,10.4.5,13.0.3,npm,glob,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
js-yaml,3.14.1,4.1.1,npm,js-yaml,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
lodash,4.17.21,4.17.23,npm,lodash,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
on-headers,1.0.2,1.1.0,npm,on-headers,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
tmp,0.0.33,0.2.5,npm,tmp,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
stdlib,go1.20.12,unknown,unknown,stdlib,41,0,0,41,0,0,"INVESTIGATE — fix status unknown for all 41 CVEs"
libc-bin,2.36-9+deb12u13,unknown,debian,glibc,10,0,10,0,0,0,"NO FIX AVAILABLE — all 10 CVEs still open"
libsystemd0,252.39-1~deb12u1,unknown,debian,systemd,4,0,4,0,0,0,"NO FIX AVAILABLE — all 4 CVEs still open"
coreutils,9.1-1,unknown,debian,coreutils,3,0,3,0,0,0,"NO FIX AVAILABLE — all 3 CVEs still open"
gpgv,2.2.40-1.1+deb12u2,unknown,debian,gnupg2,3,0,3,0,0,0,"NO FIX AVAILABLE — all 3 CVEs still open"
libgnutls30,3.7.9-2+deb12u5,unknown,debian,gnutls28,3,0,3,0,0,0,"NO FIX AVAILABLE — all 3 CVEs still open"
bsdutils,1:2.38.1-5+deb12u3,unknown,debian,util-linux@2.38.1-5+deb12u3,2,0,0,2,0,0,"INVESTIGATE — fix status unknown for all 2 CVEs"
libgcrypt20,1.10.1-3,unknown,debian,libgcrypt20,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
libtinfo6,6.4-4,unknown,debian,ncurses,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
login,1:4.13+dfsg1-1+deb12u2,unknown,debian,shadow,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
perl-base,5.36.0-7+deb12u3,unknown,debian,perl,2,0,2,0,0,0,"NO FIX AVAILABLE — all 2 CVEs still open"
apt,2.6.1,unknown,debian,apt,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
dpkg,1.21.22,unknown,debian,dpkg,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
gcc-12-base,12.2.0-14+deb12u1,unknown,debian,gcc-12,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
libpam-modules,1.5.2-6+deb12u2,unknown,debian,pam,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
libtasn1-6,4.19.0-2+deb12u1,unknown,debian,libtasn1-6,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
tar,1.34+dfsg-1.2+deb12u1,7.5.9,npm,tar,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
