CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
GHSA-4r4m-qw57-chr8,vite,5.4.14,7.3.1,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 5.4.14 to 7.3.1",low
CVE-2023-45288,stdlib,go1.20.12,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-x574-m823-4x7w,vite,5.4.14,7.3.1,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 5.4.14 to 7.3.1",low
GHSA-xcj6-pq6g-qj4x,vite,5.4.14,7.3.1,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 5.4.14 to 7.3.1",low
CVE-2024-56433,login,1:4.13+dfsg1-1+deb12u2,unknown,3.6,LOW,low,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-24787,stdlib,go1.20.12,unknown,6.4,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-93m4-6634-74q7,vite,5.4.14,7.3.1,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 5.4.14 to 7.3.1",low
CVE-2024-24784,stdlib,go1.20.12,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-24791,stdlib,go1.20.12,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-24531,stdlib,go1.20.12,unknown,9.8,CRITICAL,critical,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-g4jq-h2w9-997c,vite,5.4.14,7.3.1,None,LOW,low,transitive,2,2,npm,"UPGRADE — update from 5.4.14 to 7.3.1",low
CVE-2024-24783,stdlib,go1.20.12,unknown,5.9,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-34156,stdlib,go1.20.12,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-45289,stdlib,go1.20.12,unknown,4.3,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-45290,stdlib,go1.20.12,unknown,6.5,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2011-3389,libgnutls30,3.7.9-2+deb12u5,unknown,None,,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2025-22871,stdlib,go1.20.12,unknown,9.1,CRITICAL,critical,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-24785,stdlib,go1.20.12,unknown,5.4,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2005-2541,tar,1.34+dfsg-1.2+deb12u1,7.5.9,None,,none,transitive,3,3,npm,"UPGRADE — update from 1.34+dfsg-1.2+deb12u1 to 7.5.9",low
CVE-2024-34158,stdlib,go1.20.12,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-859w-5945-r5v3,vite,5.4.14,7.3.1,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 5.4.14 to 7.3.1",low
CVE-2025-6297,dpkg,1.21.22,unknown,8.2,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-554w-wpv2-vw27,node-forge,1.3.1,1.3.3,None,HIGH,high,transitive,4,1,npm,"UPGRADE — update from 1.3.1 to 1.3.3",low
GHSA-356w-63v5-8wf4,vite,5.4.14,7.3.1,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 5.4.14 to 7.3.1",low
GHSA-4www-5p9h-95mh,http-proxy-middleware,2.0.7,3.0.5,None,MEDIUM,medium,transitive,2,2,npm,"UPGRADE — update from 2.0.7 to 3.0.5",low
CVE-2018-20796,libc-bin,2.36-9+deb12u13,unknown,7.5,HIGH,none,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
