CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
CVE-2023-44487,node,16.20.2,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-2p57-rm9w-gvfp,ip,1.1.5,2.0.1,None,HIGH,high,transitive,3,3,npm,"UPGRADE — update from 1.1.5 to 2.0.1",low
CVE-2024-27983,node,16.20.2,unknown,8.2,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-9c47-m6qq-7p4h,json5,1.0.1,2.2.3,None,HIGH,high,transitive,3,1,npm,"UPGRADE — update from 1.0.1 to 2.2.3",low
GHSA-76p3-8jx3-jpfq,loader-utils,1.2.3,3.3.1,None,CRITICAL,critical,transitive,2,15,npm,"UPGRADE — update from 1.2.3 to 3.3.1",low
GHSA-h4j5-c7cj-74xg,xmlhttprequest-ssl,1.5.5,4.0.0,None,CRITICAL,critical,transitive,5,1,npm,"UPGRADE — update from 1.5.5 to 4.0.0",low
GHSA-7x7c-qm48-pq9c,karma,4.0.1,6.4.4,None,MEDIUM,medium,direct,1,1,npm,"UPGRADE — update from 4.0.1 to 6.4.4",low
GHSA-c9g6-9335-x697,sockjs,0.3.19,0.3.24,None,MEDIUM,medium,transitive,3,1,npm,"UPGRADE — update from 0.3.19 to 0.3.24",low
GHSA-72xf-g2v4-qvf3,tough-cookie,2.5.0,6.0.0,None,MEDIUM,medium,transitive,4,1,npm,"UPGRADE — update from 2.5.0 to 6.0.0",low
GHSA-j7fq-p9q7-5wfv,tree-kill,1.2.1,1.2.2,None,CRITICAL,critical,transitive,2,2,npm,"UPGRADE — update from 1.2.1 to 1.2.2",low
GHSA-765h-qjxv-5f44,handlebars,4.4.0,4.7.8,None,CRITICAL,critical,transitive,4,1,npm,"UPGRADE — update from 4.4.0 to 4.7.8",low
GHSA-884p-74jh-xrg2,tree-kill,1.2.1,1.2.2,None,HIGH,high,transitive,2,2,npm,"UPGRADE — update from 1.2.1 to 1.2.2",low
GHSA-4wf5-vphf-c2xc,terser,3.17.0,5.46.0,None,HIGH,high,transitive,3,1,npm,"UPGRADE — update from 3.17.0 to 5.46.0",low
GHSA-qwcr-r2fm-qrc7,body-parser,1.20.1,2.2.2,None,HIGH,high,transitive,2,2,npm,"UPGRADE — update from 1.20.1 to 2.2.2",low
GHSA-wc69-rhjr-hc9g,moment,2.18.1,2.30.1,None,HIGH,high,direct,1,7,npm,"UPGRADE — update from 2.18.1 to 2.30.1",low
GHSA-hhq3-ff78-jv3g,loader-utils,1.2.3,3.3.1,None,HIGH,high,transitive,2,15,npm,"UPGRADE — update from 1.2.3 to 3.3.1",low
GHSA-49q7-c7j4-3p7m,elliptic,6.5.4,6.6.1,None,LOW,low,transitive,6,2,npm,"UPGRADE — update from 6.5.4 to 6.6.1",low
GHSA-p6mc-m468-83gw,lodash,4.17.15,4.17.23,None,HIGH,high,transitive,2,14,npm,"UPGRADE — update from 4.17.15 to 4.17.23",low
GHSA-wr3j-pwj9-hqq6,webpack-dev-middleware,3.6.2,7.4.5,None,HIGH,high,transitive,2,2,npm,"UPGRADE — update from 3.6.2 to 7.4.5",low
GHSA-hxcc-f52p-wc94,serialize-javascript,1.9.1,7.0.2,None,HIGH,high,transitive,3,2,npm,"UPGRADE — update from 1.9.1 to 7.0.2",low
GHSA-f2jv-r9rf-7988,handlebars,4.4.0,4.7.8,None,CRITICAL,critical,transitive,4,1,npm,"UPGRADE — update from 4.4.0 to 4.7.8",low
GHSA-8hfj-j24r-96c4,moment,2.18.1,2.30.1,None,HIGH,high,direct,1,7,npm,"UPGRADE — update from 2.18.1 to 2.30.1",low
GHSA-crh6-fp67-6883,xmldom,0.1.27,0.6.0,None,CRITICAL,critical,transitive,2,1,npm,"UPGRADE — update from 0.1.27 to 0.6.0",low
GHSA-r7qp-cfhv-p84w,engine.io,3.2.1,6.6.5,None,MEDIUM,medium,transitive,3,1,npm,"UPGRADE — update from 3.2.1 to 6.6.5",low
GHSA-896r-f27r-55mw,json-schema,0.2.3,0.4.0,None,CRITICAL,critical,transitive,6,1,npm,"UPGRADE — update from 0.2.3 to 0.4.0",low
GHSA-hrpp-h998-j3pp,qs,6.5.2,6.15.0,None,HIGH,high,transitive,3,3,npm,"UPGRADE — update from 6.5.2 to 6.15.0",low
GHSA-qm95-pgcg-qqfq,socket.io-parser,3.2.0,4.2.5,None,CRITICAL,critical,transitive,3,2,npm,"UPGRADE — update from 3.2.0 to 4.2.5",low
GHSA-xvch-5gv4-984h,minimist,0.0.10,1.2.8,None,CRITICAL,critical,transitive,2,11,npm,"UPGRADE — update from 0.0.10 to 1.2.8",low
CVE-2023-46809,node,16.20.2,unknown,7.4,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-3rfm-jhwj-7488,loader-utils,1.2.3,3.3.1,None,HIGH,high,transitive,2,15,npm,"UPGRADE — update from 1.2.3 to 3.3.1",low
GHSA-36fh-84j7-cv5h,jszip,3.6.0,3.10.1,None,MEDIUM,medium,direct,1,2,npm,"UPGRADE — update from 3.6.0 to 3.10.1",low
GHSA-74fj-2j2h-c42q,follow-redirects,1.9.0,1.15.11,None,HIGH,high,transitive,3,1,npm,"UPGRADE — update from 1.9.0 to 1.15.11",low
GHSA-c75v-2vq8-878f,@angular/core,8.2.14,21.1.4,None,MEDIUM,medium,direct,1,2,npm,"UPGRADE — update from 8.2.14 to 21.1.4",low
GHSA-j4f2-536g-r55m,engine.io,3.2.1,6.6.5,None,HIGH,high,transitive,3,1,npm,"UPGRADE — update from 3.2.1 to 6.6.5",low
GHSA-4gmj-3p3h-gm8h,es5-ext,0.10.62,0.10.64,None,LOW,low,transitive,4,3,npm,"UPGRADE — update from 0.10.62 to 0.10.64",low
GHSA-35jh-r3h4-6jhm,lodash,4.17.15,4.17.23,None,HIGH,high,transitive,2,14,npm,"UPGRADE — update from 4.17.15 to 4.17.23",low
GHSA-c2qf-rxjj-qqgw,semver,5.6.0,7.7.4,None,HIGH,high,transitive,2,19,npm,"UPGRADE — update from 5.6.0 to 7.7.4",low
GHSA-3h5v-q93c-6h6q,ws,3.3.3,8.19.0,None,HIGH,high,transitive,4,2,npm,"UPGRADE — update from 3.3.3 to 8.19.0",low
GHSA-xfhh-g9f5-x4m4,socket.io-parser,3.2.0,4.2.5,None,HIGH,high,transitive,3,2,npm,"UPGRADE — update from 3.2.0 to 4.2.5",low
GHSA-cxjh-pqwp-8mfp,follow-redirects,1.9.0,1.15.11,None,MEDIUM,medium,transitive,3,1,npm,"UPGRADE — update from 1.9.0 to 1.15.11",low
GHSA-x9w5-v3q2-3rhw,browserify-sign,4.2.1,4.2.5,None,HIGH,high,transitive,5,1,npm,"UPGRADE — update from 4.2.1 to 4.2.5",low
GHSA-w573-4hg7-7wgq,decode-uri-component,0.2.0,0.4.1,None,HIGH,high,transitive,5,2,npm,"UPGRADE — update from 0.2.0 to 0.4.1",low
GHSA-72mh-269x-7mh5,xmlhttprequest-ssl,1.5.5,4.0.0,None,CRITICAL,critical,transitive,5,1,npm,"UPGRADE — update from 1.5.5 to 4.0.0",low
GHSA-f8q6-p94x-37v3,minimatch,3.0.4,10.2.0,None,HIGH,high,transitive,2,14,npm,"UPGRADE — update from 3.0.4 to 10.2.0",low
GHSA-p8p7-x288-28g6,request,2.88.2,2.88.2,None,MEDIUM,medium,transitive,3,3,npm,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-cm22-4g7w-348p,serve-static,1.15.0,2.2.1,None,LOW,low,transitive,4,1,npm,"UPGRADE — update from 1.15.0 to 2.2.1",low
CVE-2023-38552,node,16.20.2,unknown,7.5,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-3cqr-58rm-57f8,handlebars,4.4.0,4.7.8,None,HIGH,high,transitive,4,1,npm,"UPGRADE — update from 4.4.0 to 4.7.8",low
GHSA-5fg8-2547-mr8q,xmldom,0.1.27,0.6.0,None,MEDIUM,medium,transitive,2,1,npm,"UPGRADE — update from 0.1.27 to 0.6.0",low
GHSA-f5x3-32g6-xq36,tar,4.4.19,7.5.9,None,MEDIUM,medium,transitive,3,1,npm,"UPGRADE — update from 4.4.19 to 7.5.9",low
GHSA-h6q6-9hqw-rwfv,xmldom,0.1.27,0.6.0,None,MEDIUM,medium,transitive,2,1,npm,"UPGRADE — update from 0.1.27 to 0.6.0",low
