Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
binutils,2.31.1-16,unknown,debian,binutils,89,83,6,0,0,-83,"UPGRADE — 83/89 fixed; 6 remain; no new CVEs"
libtiff-dev,4.1.0+git191117-2~deb10u2,unknown,debian,tiff,72,63,8,1,0,-63,"UPGRADE — 63/72 fixed; 8 remain; no new CVEs"
imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,debian,imagemagick,71,62,9,0,0,-62,"UPGRADE — 62/71 fixed; 9 remain; no new CVEs"
curl,7.64.0-4+deb10u2,unknown,debian,curl,30,29,1,0,0,-29,"UPGRADE — 29/30 fixed; 1 remain; no new CVEs"
libopenexr-dev,2.2.1-4.1+deb10u1,unknown,debian,openexr,27,25,2,0,0,-25,"UPGRADE — 25/27 fixed; 2 remain; no new CVEs"
libc-bin,2.28-10,unknown,debian,glibc,29,22,7,0,0,-22,"UPGRADE — 22/29 fixed; 7 remain; no new CVEs"
libssl-dev,1.1.1d-0+deb10u6,unknown,debian,openssl,21,21,0,0,0,-21,"UPGRADE — all 21 CVEs fixed; no new CVEs"
git,1:2.20.1-2+deb10u3,unknown,debian,git,21,19,2,0,0,-19,"UPGRADE — 19/21 fixed; 2 remain; no new CVEs"
libexpat1,2.2.6-2+deb10u1,unknown,debian,expat,21,19,2,0,0,-19,"UPGRADE — 19/21 fixed; 2 remain; no new CVEs"
libunbound8,1.9.0-2+deb10u2,unknown,debian,unbound,18,18,0,0,0,-18,"UPGRADE — all 18 CVEs fixed; no new CVEs"
libdjvulibre-dev,3.5.27.1-10,unknown,debian,djvulibre,13,13,0,0,0,-13,"UPGRADE — all 13 CVEs fixed; no new CVEs"
libwebp-dev,0.6.1-2,unknown,debian,libwebp,13,13,0,0,0,-13,"UPGRADE — all 13 CVEs fixed; no new CVEs"
libsystemd0,241-7~deb10u7,unknown,debian,systemd,16,12,4,0,0,-12,"UPGRADE — 12/16 fixed; 4 remain; no new CVEs"
libsqlite3-0,3.27.2-3+deb10u1,unknown,debian,sqlite3,13,12,1,0,0,-12,"UPGRADE — 12/13 fixed; 1 remain; no new CVEs"
