CVE_ID,Package,Current_Version,Latest_Version,CVSS_Score,CVSS_Severity,Grype_Severity,Dep_Type,Depth,Occurrences,Ecosystem,Action,Risk_Level
CVE-2022-37434,zlib1g,1:1.2.11.dfsg-1,unknown,9.8,CRITICAL,critical,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-4863,libwebp-dev,0.6.1-2,unknown,8.8,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-44487,libnghttp2-14,1.36.0-2+deb10u1,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-32002,git,1:2.20.1-2+deb10u3,unknown,9.0,CRITICAL,critical,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-2961,libc-bin,2.28-10,unknown,7.3,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
GHSA-2p57-rm9w-gvfp,ip,1.1.5,2.0.1,None,HIGH,high,transitive,3,3,npm,"UPGRADE — update from 1.1.5 to 2.0.1",low
GHSA-3jfq-g458-7qm9,tar,6.1.0,7.5.9,None,HIGH,high,transitive,3,1,npm,"UPGRADE — update from 6.1.0 to 7.5.9",low
CVE-2023-0286,libssl-dev,1.1.1d-0+deb10u6,unknown,7.4,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-38408,openssh-client,1:7.9p1-10+deb10u2,unknown,9.8,CRITICAL,critical,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2024-27983,node,16.0.0,unknown,8.2,HIGH,high,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-2650,libssl-dev,1.1.1d-0+deb10u6,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2020-29599,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,7.8,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-32213,node,16.0.0,unknown,6.5,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-44268,imagemagick,8:6.9.10.23+dfsg-2.1+deb10u1,unknown,6.5,MEDIUM,medium,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2022-32215,node,16.0.0,unknown,6.5,MEDIUM,medium,unknown,None,0,unknown,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-21300,git,1:2.20.1-2+deb10u3,unknown,8.0,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2021-27928,libmariadb-dev,1:10.3.27-0+deb10u1,unknown,7.2,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2019-13115,libssh2-1,1.8.0-2.1,unknown,8.1,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
CVE-2023-50387,libsystemd0,241-7~deb10u7,unknown,7.5,HIGH,high,os-level,None,0,debian,"INVESTIGATE — already on latest version, CVE may be unpatched",medium
